"Date","Weekly amounts outstanding of Central Bank sterling notes in circulation total (in sterling millions) not seasonally adjusted              [a]             RPWB55A"
"04 Aug 99","24778"
"28 Jul 99","24667"
"21 Jul 99","24419"
"14 Jul 99","24364"
"07 Jul 99","24313"
"30 Jun 99","24254"
"23 Jun 99","24108"
"16 Jun 99","23959"
"09 Jun 99","24107"
"02 Jun 99","24656"
"26 May 99","24054"
"19 May 99","23667"
"12 May 99","23658"
"05 May 99","24175"
"28 Apr 99","23746"
"21 Apr 99","23437"
"14 Apr 99","23505"
"07 Apr 99","24252"
"31 Mar 99","24208"
"24 Mar 99","23337"
"17 Mar 99","23199"
"10 Mar 99","23137"
"03 Mar 99","23166"
"24 Feb 99","23120"
"17 Feb 99","23098"
"10 Feb 99","23023"
"03 Feb 99","23047"
"27 Jan 99","22969"
"20 Jan 99","22999"
"13 Jan 99","23344"
"06 Jan 99","24087"
"30 Dec 98","25722"
"23 Dec 98","25991"
"16 Dec 98","24573"
"09 Dec 98","24019"
"02 Dec 98","23764"
"25 Nov 98","23390"
"18 Nov 98","23192"
"11 Nov 98","23149"
"04 Nov 98","23198"
"28 Oct 98","23121"
"21 Oct 98","23038"
"14 Oct 98","23018"
"07 Oct 98","23080"
"30 Sep 98","23179"
"23 Sep 98","23118"
"16 Sep 98","23048"
"09 Sep 98","23161"
"02 Sep 98","23750"
"26 Aug 98","23533"
"19 Aug 98","23298"
"12 Aug 98","23288"
"05 Aug 98","23320"
"29 Jul 98","23302"
"22 Jul 98","23177"
"15 Jul 98","22990"
"08 Jul 98","22947"
"01 Jul 98","22918"
"24 Jun 98","22780"
"17 Jun 98","22778"
"10 Jun 98","22754"
"03 Jun 98","22794"
"27 May 98","23152"
"20 May 98","22715"
"13 May 98","22514"
"06 May 98","23000"
"29 Apr 98","22647"
"22 Apr 98","22419"
"15 Apr 98","23164"
"08 Apr 98","23165"
"01 Apr 98","22459"
"25 Mar 98","22217"
"18 Mar 98","22108"
"11 Mar 98","22182"
"04 Mar 98","22169"
"25 Feb 98","22103"
"18 Feb 98","22026"
"11 Feb 98","22012"
"04 Feb 98","22075"
"28 Jan 98","21955"
"21 Jan 98","21995"
"14 Jan 98","22157"
"07 Jan 98","22957"
"31 Dec 97","24100"
"24 Dec 97","26104"
"17 Dec 97","23715"
"10 Dec 97","22938"
"03 Dec 97","22785"
"26 Nov 97","22442"
"19 Nov 97","22239"
"12 Nov 97","22224"
"05 Nov 97","22155"
"29 Oct 97","22189"
"22 Oct 97","22107"
"15 Oct 97","22098"
"08 Oct 97","22079"
"01 Oct 97","22119"
"24 Sep 97","22026"
"17 Sep 97","22040"
"10 Sep 97","22151"
"03 Sep 97","22196"
"27 Aug 97","22572"
"20 Aug 97","22302"
"13 Aug 97","22100"
"06 Aug 97","22104"
"30 Jul 97","22049"
"23 Jul 97","21928"
"16 Jul 97","21785"
"09 Jul 97","21809"
"02 Jul 97","21792"
"25 Jun 97","21670"
"18 Jun 97","21605"
"11 Jun 97","21637"
"04 Jun 97","21563"
"28 May 97","21775"
"21 May 97","21465"
"14 May 97","21239"
"07 May 97","21629"
"30 Apr 97","21352"
"23 Apr 97","20975"
"16 Apr 97","20989"
"09 Apr 97","21131"
"02 Apr 97","21812"
"26 Mar 97","21597"
"19 Mar 97","20853"
"12 Mar 97","20743"
"05 Mar 97","20771"
"26 Feb 97","20606"
"19 Feb 97","20578"
"12 Feb 97","20569"
"05 Feb 97","20598"
"29 Jan 97","20551"
"22 Jan 97","20589"
"15 Jan 97","20796"
"08 Jan 97","21380"
"01 Jan 97","22609"
"31 Dec 96","22609"
"25 Dec 96","23185"
"24 Dec 96","23185"
"18 Dec 96","22407"
"11 Dec 96","21597"
"04 Dec 96","21393"
"27 Nov 96","21072"
"20 Nov 96","20879"
"13 Nov 96","20779"
"06 Nov 96","20775"
"30 Oct 96","20783"
"23 Oct 96","20716"
"16 Oct 96","20705"
"09 Oct 96","20765"
"02 Oct 96","20872"
"25 Sep 96","20818"
"18 Sep 96","20765"
"11 Sep 96","20784"
"04 Sep 96","20917"
"28 Aug 96","21343"
"21 Aug 96","21137"
"14 Aug 96","20874"
"07 Aug 96","20893"
"31 Jul 96","20879"
"24 Jul 96","20789"
"17 Jul 96","20628"
"10 Jul 96","20526"
"03 Jul 96","20520"
"26 Jun 96","20483"
"19 Jun 96","20309"
"12 Jun 96","20214"
"05 Jun 96","20245"
"29 May 96","20543"
"22 May 96","20328"
"15 May 96","20041"
"08 May 96","20334"
"01 May 96","20148"
"24 Apr 96","19819"
"17 Apr 96","19889"
"10 Apr 96","20487"
"03 Apr 96","20474"
"27 Mar 96","19756"
"20 Mar 96","19596"
"13 Mar 96","19541"
"06 Mar 96","19563"
"28 Feb 96","19450"
"21 Feb 96","19405"
"14 Feb 96","19382"
"07 Feb 96","19384"
"31 Jan 96","19349"
"24 Jan 96","19269"
"17 Jan 96","19393"
"10 Jan 96","19786"
"03 Jan 96","20799"
